cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr,maxcorr,nearest
w114_c,78ZP2gj1,2.91,1.9,4.81,0.2592,0.1101,0.0355,2.46,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",0.7767,akLp3pzW
w37_l,P0ZPxpEM,2.12,1.96,4.08,0.1197,0.1072,0.0438,1.49,C,,GOOD,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_newqv1300_lol2q/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7785,9qVEA1ZV
w68_f,MP1egvq6,2.7,2.02,4.72,0.3135,0.1753,0.0419,1.83,C,,EXCELLENT,TOP3000,INDUSTRY,2,0.08,1,N,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry) + group_rank(-ts_rank(close, 10), industry)",0.779,qMW92Az2
w67_a,vRkp2VRv,2.48,1.76,4.24,0.3085,0.1558,0.0427,1.89,C,,GOOD,TOP3000,INDUSTRY,2,0.08,1,N,"group_rank(liabilities_curr/assets, industry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, industry) + group_rank(-ts_rank(close, 10), industry)",0.7794,A10a7pdY
w41_b,883GYlNo,2.44,2.4,4.84,0.1111,0.1205,0.0394,1.68,C,,EXCELLENT,TOP3000,SUBINDUSTRY,50,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7795,RRV5l5Go
w114_g,mLgnlgo9,2.52,1.48,4.0,0.3235,0.1123,0.0481,2.78,C,,AVERAGE,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(sales/assets), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",0.7799,j23Pl0e5
w55_d,2rO9wZvJ,2.74,2.83,5.57,0.1182,0.133,0.0333,1.67,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"trade_when(volume > ts_mean(volume, 20), group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), -1)",0.7856,RRV5l5Go
w40_e,78ZGmRV5,2.47,2.45,4.92,0.1152,0.1231,0.0392,1.71,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7863,RRV5l5Go
w41_f,vRkY66xQ,2.47,2.45,4.92,0.1152,0.1231,0.0392,1.71,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.04,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7863,RRV5l5Go
w62_e,zqY2qQqK,2.68,1.45,4.13,0.4804,0.1409,0.0669,3.55,C,,AVERAGE,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_ivch/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7879,j23Pl0e5
