leg,appear,pass_quality,pass_rate
"group_rank(-ts_delta(close, 2), bucket(rank(cashflow_op/assets), range=""0.1, 1, 0.1""))",2,2,1.0
"group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(-ts_delta(close, 2), bucket(rank(ebitda/enterprise_value), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(fnd6_tstkc/assets, bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(fnd6_cicurr/assets, bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(debt_lt/assets), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(fnd6_intc/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(fnd6_newqv1300_spceq/assets, subindustry)",2,0,0.0
"rank(-ts_std_dev(returns, 20))",2,0,0.0
"group_rank(fnd6_spce/assets, subindustry)",2,0,0.0
"group_rank(fnd6_txds/assets, subindustry)",2,0,0.0
"group_rank(ts_delta(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_median, 60), subindustry)",2,0,0.0
"group_rank(fscore_bfl_total, subindustry)",2,0,0.0
"group_rank(forward_price_90/close, subindustry)",2,0,0.0
"group_rank(-snt_buzz_ret_fast_d1, subindustry)",2,0,0.0
"group_rank(ts_av_diff(cash/assets, 40), subindustry)",2,2,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 30), subindustry)",2,2,1.0
"group_rank(ts_av_diff(cash, 45)/assets, subindustry)",2,2,1.0
"group_rank(ts_av_diff(cashflow_op, 45)/enterprise_value, subindustry)",2,2,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 40), subindustry)",2,2,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 44), subindustry)",2,2,1.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry)",2,2,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_median/assets, subindustry)",2,1,0.5
"group_rank(anl4_fs_detail_estimates_advanced_af_nd_capex_number/assets, subindustry)",2,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_median/assets, subindustry)",2,1,0.5
"group_rank(-ts_mean(pcr_oi_10, 5), industry)",2,0,0.0
"group_rank(multi_factor_static_score_derivative, industry)",2,0,0.0
"group_rank(relative_valuation_rank_derivative, industry)",2,0,0.0
"group_rank(news_pct_10min, industry)",2,0,0.0
"group_rank(ts_mean(news_pct_10min, 5), industry)",2,0,0.0
"group_rank(fnd6_newqv1300_xoptdq/assets, industry)",2,0,0.0
"group_rank(anl4_fs_detail_estimates_advanced_af_nd_capex_std/assets, industry)",2,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, industry)",2,0,0.0
"group_rank(-ts_delta(close, 8), industry)",2,1,0.5
"group_rank(ts_av_diff(cash/assets, 75), industry)",2,1,0.5
"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_ptpr_high - anl4_fs_detail_estimate_1qf_v4_nd_ptpr_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean), subindustry)",2,0,0.0
"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_ptpr_high - anl4_fs_detail_estimate_1qf_v4_nd_ptpr_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean), industry)",2,0,0.0
"group_rank(-ts_delta(vwap, 10), subindustry)",2,0,0.0
"group_rank(-ts_delta(close, 10), market)",2,1,0.5
"group_rank(acquisition_total_purchase_value/assets, subindustry)",2,0,0.0
"0.25*group_rank(-ts_delta(close, 10), subindustry)",2,1,0.5
"0.25*rank(volume/ts_mean(volume, 120))",2,1,0.5
"0.7*group_rank(-ts_delta(close, 10), subindustry)",2,0,0.0
"0.7*rank(volume/ts_mean(volume, 120))",2,0,0.0
"group_rank(anl4_fs_guidances_advanced_qf_nd_rd_exp_maxguidance/assets, subindustry)",2,0,0.0
"group_rank(-(anl4_fs_guidances_advanced_af_nd_ebitda_maxguidance-anl4_fs_guidances_advanced_af_nd_ebitda_minguidance)/assets, subindustry)",2,0,0.0
"group_rank(anl4_fs_guidances_advanced_qf_nd_sh_equity_maxguidance/assets, subindustry)",2,0,0.0
"group_rank(anl4_fs_guidances_basic_af_nd_cfps_minguidance/assets, subindustry)",2,0,0.0
rank(fscore_bfl_quality),2,0,0.0
rank(fscore_bfl_profitability),2,0,0.0
"group_rank(anl4_fs_guidances_advanced_af_nd_ffoa_minguidance/assets, subindustry)",2,0,0.0
"group_rank(anl4_fs_guidances_advanced_qf_nd_totgw_minguidance/assets, subindustry)",2,0,0.0
"group_rank(-anl4_fs_detail_estimates_basic_qf_delay1_v4_nd_div_std/assets, subindustry)",2,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_median/assets, subindustry)",2,0,0.0
rank(-(close/vwap-1)),2,0,0.0
"group_rank(-ts_delta(close, 20), subindustry)",2,2,1.0
"rank(volume/ts_mean(volume, 250))",2,2,1.0
"group_rank(-ts_delta((fnd6_dltt+fnd6_dlc)/assets, 66), subindustry)",2,0,0.0
"rank(-ts_delta(vwap, 5))",2,0,0.0
"group_rank(-ts_delta(capex/assets,60),subindustry)",1,0,0.0
"a = ts_sum(open > close, 20) / ts_sum(open < close, 20); b = ts_sum(open > close, 252) / ts_sum(open < close, 252); rank(a / b)",1,0,0.0
"bar = (open - close) / (high - low); a = ts_sum((open > close) * bar, 20) / ts_sum((open < close) * (-bar), 20); b = ts_sum((open > close) * bar, 252) / ts_sum((open < close) * (-bar), 252); rank(a / b)",1,0,0.0
"ts_sum(sign(ts_delta(close, 1)), 4) == -4 ? 0 : rank(-ts_delta(close, 2))",1,0,0.0
"rank(trade_when(volume > adv20, -returns, -1))",1,0,0.0
rank(sales / assets),1,0,0.0
"group_rank(eps / close, subindustry)",1,0,0.0
"group_rank(est_netprofit / cap, subindustry)",1,0,0.0
"group_rank(fn_accrued_liab_curr_a/assets, subindustry)",1,0,0.0
"group_rank(debt_st/assets, subindustry)",1,0,0.0
"-rank(ts_delta(close, 2)) * (1 - rank(ts_decay_linear(volume / ts_mean(volume, 30), 10)))",1,0,0.0
"event = abs(ts_zscore(ts_delay(close, 1) - open, 20)) > 3.5; alpha = ts_rank(ts_delta(close, 5), 252); close_at_event = trade_when(event, close, -1); end = abs(close_at_event - close) / close_at_event > 0.1; ts_decay_linear(trade_when(event, alpha, end), 5)",1,0,0.0
"close > ts_sum(close, 20) / 20 ? 2 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))",1,0,0.0
"rank(ts_delay(close, 2) - ts_regression(close, vwap, 20, rettype=3))",1,0,0.0
"group_rank(-ts_delta(close, 2) + ts_delay(close, 2) - ts_regression(close, vwap, 60, rettype=3), subindustry)",1,0,0.0
"rank(-ts_corr(close, volume, 60))",1,0,0.0
"group_rank(liabilities_curr / assets, subindustry)",1,1,1.0
"ts_mean(group_rank(-ts_delta(close, 2) * rank(volume / ts_mean(volume, 20)), subindustry), 3)",1,0,0.0
"trade_when(rank(volume/ts_mean(volume,60)) > 0.5, group_rank(-ts_delta(close, 2), subindustry) + group_rank(fnd6_xopr/assets, subindustry), -1)",1,0,0.0
"signed_power(group_rank(-ts_delta(close, 2), subindustry), 2)",1,0,0.0
"trade_when(ts_rank(volume, 60) < 0.9, group_rank(-ts_delta(close, 2), subindustry) + group_rank(fnd6_xopr/assets, subindustry), -1)",1,0,0.0
"signed_power(rank(volume/ts_mean(volume, 60)), 2)",1,0,0.0
"trade_when(rank(volume/ts_mean(volume,60)) > 0.5, group_zscore(-ts_delta(close, 2), subindustry) + group_zscore(fnd6_xopr/assets, subindustry), -1)",1,0,0.0
"group_zscore(fnd6_xopr/assets, industry)",1,0,0.0
"group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, subindustry)",1,0,0.0
"group_rank(assets_curr/assets, subindustry)",1,0,0.0
"group_rank(-volume/cap, subindustry)",1,0,0.0
"group_rank(liabilities_curr/assets, sector)",1,1,1.0
"group_rank(liabilities_curr/assets, subindustry) * rank(-ts_delta(close, 2))",1,1,1.0
"ts_regression(group_rank(fnd6_xrent/assets, subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), group_rank(-ts_delta(close, 2), subindustry) + group_rank(fnd6_xopr/assets, subindustry) + rank(volume/ts_mean(volume, 60)), 250, lag=0, rettype=0)",1,0,0.0
"ts_regression(group_rank(fnd6_xopr/assets, subindustry) + group_rank(-ts_delta(close, 5), subindustry) + rank(volume/ts_mean(volume, 120)), group_rank(fnd6_xrent/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60)), 250, lag=0, rettype=0)",1,0,0.0
"ts_regression(group_rank(fnd6_xrent/assets, subindustry) + group_rank(-ts_delta(close, 5), subindustry) + rank(volume/ts_mean(volume, 60)), group_rank(fnd6_xrent/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60)), 250, lag=0, rettype=0)",1,0,0.0
"group_rank(-ts_corr(rank(close), rank(volume), 20), subindustry)",1,0,0.0
"group_rank(-ts_mean(returns * returns, 20), subindustry)",1,0,0.0
"group_rank(-ts_corr(close, volume, 60), subindustry)",1,0,0.0
"group_rank(ts_rank(close, 250), subindustry)",1,0,0.0
"group_rank(fnd6_xrent/assets, subindustry) * rank(-ts_delta(close, 2))",1,0,0.0
"group_rank(fnd6_xrent/assets, sector)",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 30), sector)",1,0,0.0
"group_rank(ts_rank(cashflow_op/assets, 120), subindustry)",1,0,0.0
"group_rank(ts_rank(fnd6_mfma2_revt/assets, 120), subindustry)",1,0,0.0
"rank(-ts_mean(returns, 3)) * rank(volume/ts_mean(volume, 60))",1,0,0.0
"group_rank(ts_av_diff(fnd6_xrent, 30), subindustry)",1,0,0.0
"rank(-ts_delta(vwap, 2)) * rank(volume/ts_mean(volume, 60))",1,0,0.0
"rank(-ts_mean(returns, 5)) * rank(volume/ts_mean(volume, 60))",1,1,1.0
"group_rank(ts_delta(close, 250), subindustry)",1,0,0.0
"group_rank(-ts_mean(abs(returns)/(close*volume), 20), subindustry)",1,0,0.0
"trade_when(ts_rank(volume, 60) > 0.3, group_rank(fnd6_mfma2_revt/assets, subindustry) + rank(-ts_delta(close, 2)), -1)",1,0,0.0
"group_zscore(fnd6_mfma2_revt/assets, subindustry)",1,0,0.0
"group_rank(ts_delta(close, 60), subindustry)",1,0,0.0
"group_rank(-ts_mean(abs(returns), 20), subindustry)",1,0,0.0
"group_rank(ts_rank(fnd6_mfma2_revt/assets, 250), subindustry)",1,0,0.0
"trade_when(ts_rank(volume, 60) > 0.3, group_rank(fnd6_xopr/assets, subindustry) + rank(-ts_delta(close, 2)), -1)",1,0,0.0
"trade_when(ts_rank(volume, 60) > 0.2, group_rank(fnd6_xopr/assets, subindustry) + rank(-ts_delta(close, 2)), -1)",1,1,1.0
"group_rank(ts_mean((close-low)/(high-low+0.001), 10), subindustry)",1,0,0.0
"group_rank(-ts_mean((high-low)/ts_delay(close, 1), 20), subindustry)",1,0,0.0
"rank((close-vwap)/vwap) * rank(volume/ts_mean(volume, 60))",1,0,0.0
"rank(ts_mean(open/ts_delay(close, 1) - 1, 20))",1,0,0.0
"group_rank(ts_mean((close-low)/(high-low+0.001), 20), subindustry)",1,0,0.0
"rank(-ts_mean(open/ts_delay(close, 1) - 1, 10))",1,0,0.0
"0.6 * rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60))",1,1,1.0
"0.4 * rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60))",1,0,0.0
"0.6 * rank(-ts_delta(close, 2))",1,0,0.0
"0.4 * rank(-ts_delta(close, 2))",1,0,0.0
"0.6 * rank(-ts_delta(vwap, 2))",1,1,1.0
"0.6 * rank(volume/ts_mean(volume, 60))",1,1,1.0
"0.4 * rank(-ts_delta(vwap, 2))",1,0,0.0
"0.4 * rank(volume/ts_mean(volume, 60))",1,0,0.0
"0.5 * rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60))",1,0,0.0
"group_rank(ts_rank(cashflow_op/enterprise_value, 120), subindustry)",1,0,0.0
"trade_when(volume > adv20, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"trade_when(abs(ts_zscore(close, 20)) > 0.5, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"trade_when(ts_std_dev(returns, 20) > ts_std_dev(returns, 60), group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"trade_when(days_from_last_change(eps) < 20, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,0,0.0
"trade_when(abs(ts_delta(close, 5)) > 0.3 * ts_std_dev(close, 20), group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"trade_when(volume > ts_mean(volume, 60), group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"trade_when(rank(abs(returns)) < 0.8, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"trade_when(returns < 0, group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120)), -1)",1,1,1.0
"group_rank(-news_short_interest, subindustry)",1,0,0.0
"group_rank(-ts_delta(historical_volatility_30, 66), subindustry)",1,0,0.0
"group_rank(-historical_volatility_90, subindustry)",1,0,0.0
"group_rank(-rel_ret_cust, subindustry)",1,0,0.0
"group_rank(ts_delta(scl12_sentiment, 22), subindustry)",1,1,1.0
"group_rank(abs(ts_delta(volume/sharesout,1) - group_mean(ts_delta(volume/sharesout,1),1,market)), subindustry)",1,0,0.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_median/assets, subindustry)",1,0,0.0
"group_rank(if_else(rank(ts_std_dev(volume/sharesout, 20)) < 0.5, ts_rank(volume/sharesout, 20), -ts_rank(volume/sharesout, 20)), subindustry)",1,0,0.0
"group_rank(-ts_std_dev(volume/sharesout, 20), subindustry)",1,0,0.0
"group_rank(if_else(rank(ts_std_dev(volume/sharesout, 20)) < 0.5, ts_rank(volume/sharesout, 20), -ts_rank(volume/sharesout, 20)), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_xintopt/assets, bucket(rank(cap), range=""0.05, 1, 0.05""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(cap), range=""0.05, 1, 0.05""))",1,1,1.0
"group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(cap), range=""0.05, 1, 0.05""))",1,1,1.0
"group_rank(fnd6_xintopt/assets, bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.2, 1, 0.2""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 75), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 5), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(volume/ts_mean(volume, 120), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 8), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_high/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_mean/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_high/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_mean/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 75), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 5), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_median/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_median/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebitda_median/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebitda_median/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfo_median/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebit_low/assets, bucket(rank(cap), range=""0.05, 1, 0.05""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_median/assets, bucket(rank(cap), range=""0.05, 1, 0.05""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_median/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ebitda_median/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfo_median/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newq_xoptqp/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"0.5*group_rank(-ts_delta(close, 10), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"0.5*group_rank(volume/ts_mean(volume, 120), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(volume/ts_mean(volume, 60), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(volume/ts_mean(volume, 60), sector)",1,1,1.0
"group_rank(volume/ts_mean(volume, 60), industry)",1,1,1.0
"group_rank(ts_corr(close, volume, 20), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_txdbq/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 120), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 120), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_delta(close, 20), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(volume/ts_mean(volume, 240), bucket(rank(cap), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cash/assets, 250), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 250), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(-ts_delta(close, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_cicurr/assets, bucket(rank(ts_mean(volume, 20)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_lifr/assets, sector)",1,1,1.0
"group_rank(fnd6_cicurr/assets, industry)",1,1,1.0
"group_rank(fnd6_lifr/assets, bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tfvce/assets, bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_cicurr/assets, bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 60)), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_newqv1300_lnoq/assets, bucket(rank(debt/assets), range=""0.1, 1, 0.1""))",1,0,0.0
"group_rank(fnd6_cicurr/assets, bucket(rank(inventory/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_xoptq/assets, bucket(rank(inventory/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_fcaq/assets, bucket(rank(inventory/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(inventory/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(inventory/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(inventory/assets), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_intc/assets, bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_newqv1300_glcea12/assets, bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))",1,1,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(sga_expense/sales), range=""0.1, 1, 0.1""))",1,1,1.0
