P_int10    id=A1N6EGbe S=2.02 F=0.85
P_int20C   id=E5p3xGYG S=1.72 F=0.75
P_int20I   id=88jAXpWo S=1.77 F=0.79
P_int20V   id=3qXdJG90 S=1.74 F=0.71
P_int40    id=e7bAEan6 S=1.67 F=0.74
P_int60    id=GrbV9mR5 S=1.68 F=0.76
P_on10     id=A1N6E5LR S=-0.64 F=-0.31
P_on20     id=ZYbZN10x S=-0.45 F=-0.21
P_on5I     id=rKOk8Mjd S=-0.46 F=-0.17
P_vd5      id=JjNlr6Wj S=-0.96 F=-0.46
